"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a"
"VSPT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262,0,4736050000,0,4.3895
"VSPT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262,0,4736050000,0,4.3895
"VNET3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761,0,9145920000,0,-0.0518
"CFLU4",1000,0,0,0,0,0,0,0,0,0,0,0.0888,0.1072,1.1,0.17679999999999998,0.3215,0,60351000,0.06,0.0814
"CLAN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105,0,1012240000,0,-0.6396000000000001
"CLSC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22899999999999998,0,1611840000,0,0.0754
"CSTB3",150,0,0,0,0,0,0,0,0,0,0,0.40850000000000003,0.2898,2.6,0.22399999999999998,0.2011,0,8420670000,0.14,0.3191
"CSTB4",147.69,0,0,0,0,0,0,0,0,0,0,0.40850000000000003,0.2898,2.6,0.22399999999999998,0.2011,0,8420670000,0.14,0.3191
"IVTT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,0,1083050000,0,0.20670000000000002
"MNSA3",0.42,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0,-9105000,-6.52,-0.4111
"MNSA4",0.47,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0,-9105000,-6.52,-0.4111
"ODER3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1707,0,220989000,0,0.055999999999999994
"ODER4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1707,0,220989000,0,0.055999999999999994
"PMET3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0,-290863000,0,0.3774
"POPR4",10.17,0,0,0,0,0,0,0,0,0,0,0.0866,0.0565,1.08,0.1525,0.1993,0,545803000,0.82,0.3093
"PORP4",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208,0,22399000,0,0.1366
"OMGE3",36.07,-958.05,2.58,6.991,0,0.921,12.12,21.94,-1.8,33.47,19.39,0.3186,-0.0013,2.47,0.0467,-0.0027,39524600,2731860000,1.61,0.6536
"STBP3",4.3,-819.05,2.8,3.992,0.0032,1.139,13.43,97.9,-2.66,100.12,21.09,0.0408,-0.0049,2.06,0.013300000000000001,-0.0034000000000000002,26126400,1324970000,0.33,0.036000000000000004
"PLDN4",486,-553.07,1.08,0.919,0,0.611,1.07,-75.56,3.1,-33.12,-33.12,-0.012199999999999999,-0.0017000000000000001,10.81,-0.0127,-0.002,0,289939000,0.01,0.1026
"STBP11",14.4,-548.57,1.87,2.673,0,0.763,9,65.57,-1.78,67.79,14.28,0.0408,-0.0049,2.06,0.013300000000000001,-0.0034000000000000002,0,1324970000,0.33,0.036000000000000004
